                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.3096,                0.89914,                 1.3454,                   1.34,                 1.0279,                 1.3278,                0.74601,                0.74714,                0.78005,                0.38967,                 1.7257,                0.90009,                 1.6024,                 1.7541,                 1.0005,                 1.5683,             0.00055188,             0.00055188,             0.00055188
                     34,                 1.3303,                0.88009,                 1.3405,                 1.3674,                 1.0269,                 1.3244,                0.78288,                0.77259,                0.82046,                0.39641,                 1.7514,                0.88274,                 1.6263,                 1.7784,                0.92711,                  1.595,             0.00052359,             0.00052359,             0.00052359
                     35,                  1.319,                0.87235,                 1.3268,                 1.3686,                 1.0001,                 1.3066,                0.72938,                0.73685,                0.78392,                 0.3742,                 1.7717,                0.89221,                   1.65,                 1.7747,                0.96165,                 1.5989,             0.00049529,             0.00049529,             0.00049529
                     36,                 1.3179,                0.85629,                 1.3281,                 1.3613,                0.98362,                 1.3158,                0.79975,                0.72304,                0.79801,                0.38339,                 1.7708,                0.89437,                 1.6281,                 1.7972,                 0.9783,                  1.613,               0.000467,               0.000467,               0.000467
                     37,                 1.3384,                  0.855,                 1.3461,                 1.3891,                0.98069,                 1.3301,                0.73711,                0.78576,                0.80227,                0.39536,                 1.7411,                0.87171,                 1.6165,                  1.777,                 0.9193,                 1.5958,              0.0004387,              0.0004387,              0.0004387
                     38,                 1.2957,                0.85596,                 1.3203,                 1.3463,                0.99775,                 1.3106,                0.74876,                0.75867,                 0.7887,                0.37547,                 1.7968,                0.89674,                 1.6563,                 1.8002,                0.98046,                 1.6132,             0.00041041,             0.00041041,             0.00041041
                     39,                 1.2573,                0.81922,                 1.3047,                 1.3125,                 0.9289,                 1.2975,                0.75455,                0.76721,                0.81101,                0.39475,                 1.7528,                0.85762,                 1.6378,                 1.7813,                0.92761,                 1.6102,             0.00038211,             0.00038211,             0.00038211
                     40,                 1.2733,                0.82917,                 1.3185,                 1.3205,                 0.9532,                 1.3042,                0.80289,                0.79824,                 0.8425,                0.41605,                  1.737,                 0.8463,                 1.6233,                 1.7518,                0.93961,                 1.5903,             0.00035382,             0.00035382,             0.00035382
                     41,                 1.2459,                0.73133,                 1.3265,                 1.2842,                0.75674,                 1.3149,                0.77046,                0.74422,                0.79314,                0.39047,                 1.7713,                0.89863,                 1.6292,                 1.7885,                0.97253,                 1.5996,             0.00032553,             0.00032553,             0.00032553
                     42,                 1.2181,                 0.6718,                  1.308,                 1.2551,                0.69992,                 1.3016,                0.83483,                0.74582,                0.83159,                0.40906,                 1.7368,                0.80828,                 1.6274,                 1.7566,                0.86321,                 1.5934,             0.00029723,             0.00029723,             0.00029723
                     43,                 1.1923,                0.63928,                 1.2862,                 1.2212,                0.65511,                 1.2745,                0.77764,                0.79935,                0.85815,                0.43181,                 1.7066,                0.78555,                 1.6119,                 1.7272,                0.81844,                 1.5822,             0.00026894,             0.00026894,             0.00026894
                     44,                  1.168,                0.61698,                  1.274,                 1.2119,                0.63664,                 1.2714,                0.80014,                0.81032,                0.86245,                 0.4194,                 1.7317,                0.78468,                 1.6362,                 1.7545,                0.81596,                 1.6057,             0.00024064,             0.00024064,             0.00024064
                     45,                 1.1649,                0.61633,                 1.2694,                 1.2109,                   0.64,                 1.2684,                 0.8335,                 0.7652,                0.84481,                0.42205,                 1.7027,                0.78663,                 1.5976,                 1.7186,                0.84109,                 1.5586,             0.00021235,             0.00021235,             0.00021235
                     46,                 1.1476,                0.59977,                 1.2462,                 1.1948,                0.60855,                 1.2407,                0.83127,                0.78414,                0.84876,                0.42491,                 1.7274,                0.78297,                 1.6169,                  1.751,                0.84863,                 1.5711,             0.00018406,             0.00018406,             0.00018406
                     47,                 1.1128,                 0.5855,                 1.2274,                 1.1531,                0.59627,                  1.224,                0.84451,                0.77554,                0.85921,                0.43275,                 1.7093,                0.78171,                 1.6022,                 1.7378,                0.80131,                 1.5686,             0.00015576,             0.00015576,             0.00015576
                     48,                 1.0891,                0.56808,                 1.2323,                  1.123,                0.56596,                  1.222,                0.79946,                 0.8334,                0.86543,                0.43888,                  1.694,                0.76474,                 1.5935,                 1.7289,                0.80293,                 1.5642,             0.00012747,             0.00012747,             0.00012747
                     49,                 1.0928,                0.56112,                 1.2351,                 1.1341,                0.58266,                 1.2367,                0.81659,                0.81505,                0.84899,                0.42235,                  1.714,                0.78139,                 1.6022,                 1.7457,                0.84333,                 1.5743,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     50,                 1.0788,                0.56146,                 1.2085,                 1.1137,                0.56806,                 1.2025,                0.82829,                0.80325,                 0.8581,                 0.4383,                 1.7065,                0.79271,                  1.612,                 1.7228,                 0.8567,                 1.5743,             7.0878e-05,             7.0878e-05,             7.0878e-05
